time,data
51464,-473626
,
51548,-473681
,
51632,-473719
,
51717,-473763
,
51801,-473852
,
51885,-473950
,
51969,-474010
,
52053,-474045
,
52138,-474108
,
52222,-474152
,
52306,-474230
,
52390,-474271
,
52474,-474292
,
52559,-474359
,
52643,-474417
