time(millis),values,Grams,Newtons,multiplier,offset
24192,-426360,87.9404,,0.00111,561.2
24276,-426318,87.98702,,0.00111,561.2
24361,-426323,87.98147,,0.00111,561.2
24445,-426365,87.93485,,0.00111,561.2
24529,-426367,87.93263,,0.00111,561.2
24613,-426365,87.93485,,0.00111,561.2
24697,-426348,87.95372,,0.00111,561.2
24781,-426292,88.01588,,0.00111,561.2
24866,-426292,88.01588,,0.00111,561.2
24950,-426329,87.97481,,0.00111,561.2
25034,-426329,87.97481,,0.00111,561.2
25118,-426351,87.95039,,0.00111,561.2
25202,-426286,88.02254,,0.00111,561.2
25287,-426231,88.08359,,0.00111,561.2
25371,-426299,88.00811,,0.00111,561.2
25455,-426326,87.97814,,0.00111,561.2
25539,-426297,88.01033,,0.00111,561.2
25623,-426306,88.00034,,0.00111,561.2
25708,-426292,88.01588,,0.00111,561.2
25792,-426281,88.02809,,0.00111,561.2
25876,-426322,87.98258,,0.00111,561.2
25960,-426320,87.9848,,0.00111,561.2
26044,-426296,88.01144,,0.00111,561.2
26129,-426340,87.9626,,0.00111,561.2
26213,-426338,87.96482,,0.00111,561.2
26297,-426300,88.007,,0.00111,561.2
26381,-426360,87.9404,,0.00111,561.2
26465,-426370,87.9293,,0.00111,561.2
26550,-426331,87.97259,,0.00111,561.2
26634,-426349,87.95261,,0.00111,561.2
26718,-426369,87.93041,,0.00111,561.2
26802,-426419,87.87491,,0.00111,561.2
26886,-426415,87.87935,,0.00111,561.2
26971,-426350,87.9515,,0.00111,561.2
27055,-426322,87.98258,,0.00111,561.2
27139,-426318,87.98702,,0.00111,561.2
27223,-426339,87.96371,,0.00111,561.2
27307,-426335,87.96815,,0.00111,561.2
27392,-426321,87.98369,,0.00111,561.2
27476,-426286,88.02254,,0.00111,561.2
27560,-426306,88.00034,,0.00111,561.2
27644,-426316,87.98924,,0.00111,561.2
27728,-426324,87.98036,,0.00111,561.2
27813,-426330,87.9737,,0.00111,561.2
27897,-426292,88.01588,,0.00111,561.2
27981,-426272,88.03808,,0.00111,561.2
28065,-426304,88.00256,,0.00111,561.2
28149,-426308,87.99812,,0.00111,561.2
28233,-426273,88.03697,,0.00111,561.2
28318,-426257,88.05473,,0.00111,561.2
28402,-426219,88.09691,,0.00111,561.2
28486,-426223,88.09247,,0.00111,561.2
28570,-426202,88.11578,,0.00111,561.2
28654,-426223,88.09247,,0.00111,561.2
28739,-426207,88.11023,,0.00111,561.2
28823,-426186,88.13354,,0.00111,561.2
28907,-426190,88.1291,,0.00111,561.2
28991,-426164,88.15796,,0.00111,561.2
29075,-426164,88.15796,,0.00111,561.2
29160,-426159,88.16351,,0.00111,561.2
29244,-426131,88.19459,,0.00111,561.2
29328,-426136,88.18904,,0.00111,561.2
29412,-426112,88.21568,,0.00111,561.2
29496,-426064,88.26896,,0.00111,561.2
29581,-426047,88.28783,,0.00111,561.2
29665,-426083,88.24787,,0.00111,561.2
29749,-426123,88.20347,,0.00111,561.2
29833,-426105,88.22345,,0.00111,561.2
29917,-426061,88.27229,,0.00111,561.2
30001,-426053,88.28117,,0.00111,561.2
30086,-426033,88.30337,,0.00111,561.2
30170,-426027,88.31003,,0.00111,561.2
30254,-426001,88.33889,,0.00111,561.2
30338,-425994,88.34666,,0.00111,561.2
30422,-425997,88.34333,,0.00111,561.2
30507,-425959,88.38551,,0.00111,561.2
30591,-425977,88.36553,,0.00111,561.2
30675,-425967,88.37663,,0.00111,561.2
30759,-425948,88.39772,,0.00111,561.2
30843,-425912,88.43768,,0.00111,561.2
30928,-425956,88.38884,,0.00111,561.2
31012,-425995,88.34555,,0.00111,561.2
31096,-425976,88.36664,,0.00111,561.2
31180,-425973,88.36997,,0.00111,561.2
31264,-425986,88.35554,,0.00111,561.2
31349,-425931,88.41659,,0.00111,561.2
31433,-425896,88.45544,,0.00111,561.2
31517,-425883,88.46987,,0.00111,561.2
31601,-425923,88.42547,,0.00111,561.2
31685,-425915,88.43435,,0.00111,561.2
31770,-425892,88.45988,,0.00111,561.2
31854,-425866,88.48874,,0.00111,561.2
31938,-425842,88.51538,,0.00111,561.2
32022,-425831,88.52759,,0.00111,561.2
32106,-425819,88.54091,,0.00111,561.2
32190,-425826,88.53314,,0.00111,561.2
32275,-425840,88.5176,,0.00111,561.2
32359,-425802,88.55978,,0.00111,561.2
32443,-425785,88.57865,,0.00111,561.2
32527,-425829,88.52981,,0.00111,561.2
32611,-425795,88.56755,,0.00111,561.2
32696,-425746,88.62194,,0.00111,561.2
32780,-425759,88.60751,,0.00111,561.2
32864,-425777,88.58753,,0.00111,561.2
32948,-425748,88.61972,,0.00111,561.2
33032,-425772,88.59308,,0.00111,561.2
33117,-425743,88.62527,,0.00111,561.2
33201,-425762,88.60418,,0.00111,561.2
33285,-425752,88.61528,,0.00111,561.2
33369,-425724,88.64636,,0.00111,561.2
33453,-425767,88.59863,,0.00111,561.2
33538,-425803,88.55867,,0.00111,561.2
33622,-425816,88.54424,,0.00111,561.2
33706,-425804,88.55756,,0.00111,561.2
33790,-425781,88.58309,,0.00111,561.2
33874,-425769,88.59641,,0.00111,561.2
33959,-425782,88.58198,,0.00111,561.2
34043,-425786,88.57754,,0.00111,561.2
34127,-425788,88.57532,,0.00111,561.2
34211,-425777,88.58753,,0.00111,561.2
34295,-425782,88.58198,,0.00111,561.2
34379,-425823,88.53647,,0.00111,561.2
34464,-425809,88.55201,,0.00111,561.2
34548,-425841,88.51649,,0.00111,561.2
34632,-425845,88.51205,,0.00111,561.2
34716,-425856,88.49984,,0.00111,561.2
34800,-425883,88.46987,,0.00111,561.2
34885,-425905,88.44545,,0.00111,561.2
34969,-425885,88.46765,,0.00111,561.2
35053,-425826,88.53314,,0.00111,561.2
35137,-425815,88.54535,,0.00111,561.2
35221,-425868,88.48652,,0.00111,561.2
35306,-425845,88.51205,,0.00111,561.2
35390,-425809,88.55201,,0.00111,561.2
35474,-425866,88.48874,,0.00111,561.2
35558,-425857,88.49873,,0.00111,561.2
35642,-425861,88.49429,,0.00111,561.2
35727,-425868,88.48652,,0.00111,561.2
35811,-425865,88.48985,,0.00111,561.2
35895,-425918,88.43102,,0.00111,561.2
35979,-425944,88.40216,,0.00111,561.2
36063,-425859,88.49651,,0.00111,561.2
36148,-425804,88.55756,,0.00111,561.2
36232,-425707,88.66523,,0.00111,561.2
36316,-425658,88.71962,,0.00111,561.2
36400,-425585,88.80065,,0.00111,561.2
36484,-425489,88.90721,,0.00111,561.2
36568,-425408,88.99712,,0.00111,561.2
36653,-425322,89.09258,,0.00111,561.2
36737,-425276,89.14364,,0.00111,561.2
36821,-425245,89.17805,,0.00111,561.2
36905,-425251,89.17139,,0.00111,561.2
36989,-425193,89.23577,,0.00111,561.2
37074,-425142,89.29238,,0.00111,561.2
37158,-425091,89.34899,,0.00111,561.2
37242,-425015,89.43335,,0.00111,561.2
37326,-424965,89.48885,,0.00111,561.2
37410,-424942,89.51438,,0.00111,561.2
37495,-424882,89.58098,,0.00111,561.2
37579,-424871,89.59319,,0.00111,561.2
37663,-424843,89.62427,,0.00111,561.2
37747,-424780,89.6942,,0.00111,561.2
37831,-424787,89.68643,,0.00111,561.2
37916,-424827,89.64203,,0.00111,561.2
38000,-424869,89.59541,,0.00111,561.2
38084,-424880,89.5832,,0.00111,561.2
38168,-424818,89.65202,,0.00111,561.2
38252,-424775,89.69975,,0.00111,561.2
38337,-424765,89.71085,,0.00111,561.2
38421,-424778,89.69642,,0.00111,561.2
38505,-424794,89.67866,,0.00111,561.2
38589,-424808,89.66312,,0.00111,561.2
38673,-424760,89.7164,,0.00111,561.2
38757,-424705,89.77745,,0.00111,561.2
38842,-424695,89.78855,,0.00111,561.2
38926,-424708,89.77412,,0.00111,561.2
39010,-424739,89.73971,,0.00111,561.2
39094,-424795,89.67755,,0.00111,561.2
39178,-424834,89.63426,,0.00111,561.2
39263,-424783,89.69087,,0.00111,561.2
39347,-424728,89.75192,,0.00111,561.2
