time,data,Grams,Newtons,multiplier,offset
21194,-472280,36.9692,,0.00111,561.2
,,561.2,,0.00111,561.2
21278,-472235,37.01915,,0.00111,561.2
,,561.2,,0.00111,561.2
21362,-472235,37.01915,,0.00111,561.2
,,561.2,,0.00111,561.2
21446,-472190,37.0691,,0.00111,561.2
,,561.2,,0.00111,561.2
21530,-472220,37.0358,,0.00111,561.2
,,561.2,,0.00111,561.2
21615,-472225,37.03025,,0.00111,561.2
,,561.2,,0.00111,561.2
21699,-472193,37.06577,,0.00111,561.2
,,561.2,,0.00111,561.2
21783,-472175,37.08575,,0.00111,561.2
,,561.2,,0.00111,561.2
21867,-472193,37.06577,,0.00111,561.2
,,561.2,,0.00111,561.2
21951,-472261,36.99029,,0.00111,561.2
,,561.2,,0.00111,561.2
22035,-472268,36.98252,,0.00111,561.2
,,561.2,,0.00111,561.2
22120,-472287,36.96143,,0.00111,561.2
,,561.2,,0.00111,561.2
22204,-472345,36.89705,,0.00111,561.2
,,561.2,,0.00111,561.2
22288,-472328,36.91592,,0.00111,561.2
,,561.2,,0.00111,561.2
22372,-472379,36.85931,,0.00111,561.2
,,561.2,,0.00111,561.2
22456,-472395,36.84155,,0.00111,561.2
,,561.2,,0.00111,561.2
22540,-472354,36.88706,,0.00111,561.2
,,561.2,,0.00111,561.2
22624,-472294,36.95366,,0.00111,561.2
,,561.2,,0.00111,561.2
22709,-472305,36.94145,,0.00111,561.2
,,561.2,,0.00111,561.2
22793,-472263,36.98807,,0.00111,561.2
,,561.2,,0.00111,561.2
22877,-472268,36.98252,,0.00111,561.2
,,561.2,,0.00111,561.2
22961,-472291,36.95699,,0.00111,561.2
,,561.2,,0.00111,561.2
23045,-472240,37.0136,,0.00111,561.2
,,561.2,,0.00111,561.2
23129,-472199,37.05911,,0.00111,561.2
,,561.2,,0.00111,561.2
23214,-472196,37.06244,,0.00111,561.2
,,561.2,,0.00111,561.2
23298,-472210,37.0469,,0.00111,561.2
,,561.2,,0.00111,561.2
23382,-472240,37.0136,,0.00111,561.2
,,561.2,,0.00111,561.2
23466,-472280,36.9692,,0.00111,561.2
,,561.2,,0.00111,561.2
23550,-472283,36.96587,,0.00111,561.2
,,561.2,,0.00111,561.2
23634,-472293,36.95477,,0.00111,561.2
,,561.2,,0.00111,561.2
23719,-472320,36.9248,,0.00111,561.2
,,561.2,,0.00111,561.2
23803,-472378,36.86042,,0.00111,561.2
,,561.2,,0.00111,561.2
23887,-472446,36.78494,,0.00111,561.2
,,561.2,,0.00111,561.2
23971,-472452,36.77828,,0.00111,561.2
,,561.2,,0.00111,561.2
24055,-472407,36.82823,,0.00111,561.2
,,561.2,,0.00111,561.2
24139,-472409,36.82601,,0.00111,561.2
,,561.2,,0.00111,561.2
24224,-472430,36.8027,,0.00111,561.2
,,561.2,,0.00111,561.2
24308,-472438,36.79382,,0.00111,561.2
,,561.2,,0.00111,561.2
24392,-472464,36.76496,,0.00111,561.2
,,561.2,,0.00111,561.2
24476,-472484,36.74276,,0.00111,561.2
,,561.2,,0.00111,561.2
24560,-472485,36.74165,,0.00111,561.2
,,561.2,,0.00111,561.2
24644,-472394,36.84266,,0.00111,561.2
,,561.2,,0.00111,561.2
24729,-472394,36.84266,,0.00111,561.2
,,561.2,,0.00111,561.2
24813,-472460,36.7694,,0.00111,561.2
,,561.2,,0.00111,561.2
24897,-472475,36.75275,,0.00111,561.2
,,561.2,,0.00111,561.2
24981,-472454,36.77606,,0.00111,561.2
,,561.2,,0.00111,561.2
25065,-472448,36.78272,,0.00111,561.2
,,561.2,,0.00111,561.2
25149,-472461,36.76829,,0.00111,561.2
,,561.2,,0.00111,561.2
25234,-472451,36.77939,,0.00111,561.2
,,561.2,,0.00111,561.2
25318,-472449,36.78161,,0.00111,561.2
,,561.2,,0.00111,561.2
25402,-472450,36.7805,,0.00111,561.2
,,561.2,,0.00111,561.2
25486,-472379,36.85931,,0.00111,561.2
,,561.2,,0.00111,561.2
25570,-472269,36.98141,,0.00111,561.2
,,561.2,,0.00111,561.2
25654,-472246,37.00694,,0.00111,561.2
,,561.2,,0.00111,561.2
25738,-472256,36.99584,,0.00111,561.2
,,561.2,,0.00111,561.2
25823,-472193,37.06577,,0.00111,561.2
,,561.2,,0.00111,561.2
25907,-472158,37.10462,,0.00111,561.2
,,561.2,,0.00111,561.2
25991,-472110,37.1579,,0.00111,561.2
,,561.2,,0.00111,561.2
26075,-472117,37.15013,,0.00111,561.2
,,561.2,,0.00111,561.2
26159,-472132,37.13348,,0.00111,561.2
,,561.2,,0.00111,561.2
26243,-472131,37.13459,,0.00111,561.2
,,561.2,,0.00111,561.2
26328,-472124,37.14236,,0.00111,561.2
,,561.2,,0.00111,561.2
26412,-472207,37.05023,,0.00111,561.2
,,561.2,,0.00111,561.2
26496,-472317,36.92813,,0.00111,561.2
,,561.2,,0.00111,561.2
26580,-472335,36.90815,,0.00111,561.2
,,561.2,,0.00111,561.2
26664,-472312,36.93368,,0.00111,561.2
,,561.2,,0.00111,561.2
26748,-472319,36.92591,,0.00111,561.2
,,561.2,,0.00111,561.2
26833,-472346,36.89594,,0.00111,561.2
,,561.2,,0.00111,561.2
26917,-472362,36.87818,,0.00111,561.2
,,561.2,,0.00111,561.2
27001,-472332,36.91148,,0.00111,561.2
,,561.2,,0.00111,561.2
27085,-472275,36.97475,,0.00111,561.2
,,561.2,,0.00111,561.2
27169,-472219,37.03691,,0.00111,561.2
,,561.2,,0.00111,561.2
27253,-472164,37.09796,,0.00111,561.2
,,561.2,,0.00111,561.2
27338,-472110,37.1579,,0.00111,561.2
,,561.2,,0.00111,561.2
27422,-472166,37.09574,,0.00111,561.2
,,561.2,,0.00111,561.2
27506,-472241,37.01249,,0.00111,561.2
,,561.2,,0.00111,561.2
27590,-472315,36.93035,,0.00111,561.2
,,561.2,,0.00111,561.2
27674,-472401,36.83489,,0.00111,561.2
,,561.2,,0.00111,561.2
27758,-472367,36.87263,,0.00111,561.2
,,561.2,,0.00111,561.2
27843,-472277,36.97253,,0.00111,561.2
,,561.2,,0.00111,561.2
27927,-472270,36.9803,,0.00111,561.2
,,561.2,,0.00111,561.2
28011,-472243,37.01027,,0.00111,561.2
,,561.2,,0.00111,561.2
28095,-472248,37.00472,,0.00111,561.2
,,561.2,,0.00111,561.2
28179,-472228,37.02692,,0.00111,561.2
,,561.2,,0.00111,561.2
28263,-472267,36.98363,,0.00111,561.2
,,561.2,,0.00111,561.2
28348,-472273,36.97697,,0.00111,561.2
,,561.2,,0.00111,561.2
28432,-472284,36.96476,,0.00111,561.2
,,561.2,,0.00111,561.2
28516,-472283,36.96587,,0.00111,561.2
,,561.2,,0.00111,561.2
28600,-472233,37.02137,,0.00111,561.2
,,561.2,,0.00111,561.2
28684,-472226,37.02914,,0.00111,561.2
,,561.2,,0.00111,561.2
28768,-472217,37.03913,,0.00111,561.2
,,561.2,,0.00111,561.2
28853,-472253,36.99917,,0.00111,561.2
,,561.2,,0.00111,561.2
28937,-472221,37.03469,,0.00111,561.2
,,561.2,,0.00111,561.2
29021,-472236,37.01804,,0.00111,561.2
,,561.2,,0.00111,561.2
29105,-472314,36.93146,,0.00111,561.2
,,561.2,,0.00111,561.2
29189,-472368,36.87152,,0.00111,561.2
,,561.2,,0.00111,561.2
29273,-472317,36.92813,,0.00111,561.2
,,561.2,,0.00111,561.2
29357,-472276,36.97364,,0.00111,561.2
,,561.2,,0.00111,561.2
29442,-472258,36.99362,,0.00111,561.2
,,561.2,,0.00111,561.2
29526,-472252,37.00028,,0.00111,561.2
,,561.2,,0.00111,561.2
29610,-472240,37.0136,,0.00111,561.2
,,561.2,,0.00111,561.2
29694,-472206,37.05134,,0.00111,561.2
,,561.2,,0.00111,561.2
29778,-472217,37.03913,,0.00111,561.2
,,561.2,,0.00111,561.2
29862,-472285,36.96365,,0.00111,561.2
,,561.2,,0.00111,561.2
29947,-472294,36.95366,,0.00111,561.2
,,561.2,,0.00111,561.2
30031,-472298,36.94922,,0.00111,561.2
,,561.2,,0.00111,561.2
30115,-472319,36.92591,,0.00111,561.2
,,561.2,,0.00111,561.2
30199,-472372,36.86708,,0.00111,561.2
,,561.2,,0.00111,561.2
30283,-472362,36.87818,,0.00111,561.2
,,561.2,,0.00111,561.2
30367,-472409,36.82601,,0.00111,561.2
,,561.2,,0.00111,561.2
30452,-472388,36.84932,,0.00111,561.2
,,561.2,,0.00111,561.2
30536,-472280,36.9692,,0.00111,561.2
,,561.2,,0.00111,561.2
30620,-472247,37.00583,,0.00111,561.2
,,561.2,,0.00111,561.2
30704,-472257,36.99473,,0.00111,561.2
,,561.2,,0.00111,561.2
